sector_id,name,layer,ranked,growth,profit,moat,valuation,market,confidence,as_of_date
ai-accelerators,AI芯片与加速器,上游,true,86,61,82,88,72,68,2026-06-18
memory-hbm,存储芯片及HBM产业链,上游,true,83,58,76,81,68,62,2026-06-18
optical,光模块与光器件,上游,true,88,76,79,84,77,82,2026-06-18
ccl,高速高频CCL,上游,true,74,68,72,73,64,78,2026-06-18
pcb,高多层PCB,上游,true,69,62,66,67,60,81,2026-06-18
advanced-packaging,先进封装,上游,true,77,64,75,76,66,74,2026-06-18
semi-equipment-materials,半导体设备与关键材料,上游,true,71,70,80,79,58,76,2026-06-18
data-center-power,数据中心电源,上游,true,68,65,64,61,57,79,2026-06-18
liquid-cooling,液冷与散热,上游,true,80,57,61,82,70,65,2026-06-18
connectors-passives,高速连接器与被动元件,上游,true,61,63,69,59,53,73,2026-06-18
ai-servers,AI服务器与整机,中游,true,72,45,56,65,62,80,2026-06-18
networking,交换机与高速网络设备,中游,true,73,66,71,74,69,77,2026-06-18
idc,IDC与数据中心,中游,true,54,51,62,58,49,84,2026-06-18
compute-rental,算力租赁与云服务,中游,true,65,39,48,77,55,57,2026-06-18
grid-infrastructure,电网与算力配套基础设施,中游,true,58,60,67,52,51,86,2026-06-18
foundation-models,大模型与AI软件,下游,false,78,38,52,86,61,42,2026-06-18
ai-terminals,AI应用与智能终端,下游,false,67,46,49,69,56,45,2026-06-18
vertical-ai,行业AI解决方案,下游,false,63,44,47,64,54,40,2026-06-18
